Owner, Team Name, Record
Owen, Owen-Wan Kenobi, 9-5
Batches, Darth Batches, 7-7
Jakeb, Sunny In Philadelphia, 10-4
Addi, Anazyn Skywalkers, 9-5
Austin, Sacraficial Lambs, 8-6
Sam, Batman and Robinson, 7-7
Beans, Fuck Stefon Diggs, 6-8
Logan, Clark Street Dawgs, 6-8
Gus, Bitch Cup, 5-9
Carson, Euro Trash'd, 6-8
Dom, domthebomb44, 4-10
TCoop, Magic Mike Tython, 7-7
